Unnamed: 0.1,Unnamed: 0,id,question,question_concept,choices,answerKey,answer_options_formatted,answer,choices_copy,masked_options,question_answer,masked_question,masked_word_answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
0,8773,37eb54ff6dcbbdb70d12b7e5a1dab9e3,"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",feet,"['shoes', 'stay still', 'hands', 'walk', 'stink']",B,"A: shoes
B: stay still
C: hands
D: walk
E: stink",staystill,"['shoes', 'stay still', '', 'walk', 'stink']",['hands'],"Question: Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?
Answer:
A: shoes
B: stay still
C: 
D: walk
E: stink","Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a (), because she was told to do what?",problem,"['Miranda', 'sure', 'just', 'knew', 'moving', 'smelly']","Here is a paragraph incorporating the key terms in a meaningful context:

Miranda was sure she had just seen a shadowy figure moving outside her window. Her heart raced as she knew there was no way it could have been her imagination - the figure was too distinct, too smelly even from a distance. She had read enough true crime stories to be wary of strange noises or movements around her house at night. Miranda slowly got up from her bed, hands shaking, and peered through the curtains again. Just as she suspected, there was someone lurking in the bushes outside. She quickly dialed 911, hoping the police would arrive before the intruder tried to get inside.",,False,Compulsion
1,6125,5abe81200fb6d4d0ff7f1d9862116292,"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",pawn,"['scheme', 'chess game', 'chess set', 'business idea', 'playing chess']",A,"A: scheme
B: chess game
C: chess set
D: business idea
E: playing chess",scheme,"['scheme', 'chess game', 'chess set', 'business idea', '']",['playing chess'],"Question: The police busted down his door, he realized only then he was just the pawn in his partner's grander what?
Answer:
A: scheme
B: chess game
C: chess set
D: business idea
E: ","The police busted down his (), he realized only then he was just the pawn in his partner's grander what?",door,"['police', 'only', 'just', 'partner', 'grander']","Here is a paragraph incorporating the key terms in a meaningful context:

The police force is just one partner in a grander effort to create safer communities. While law enforcement plays an important role in maintaining order and responding to crimes, they cannot be the only solution. True public safety requires a multifaceted approach that addresses root causes like poverty, mental illness, substance abuse, and lack of opportunity. By partnering with social services, community organizations, schools, and residents themselves, police can be part of a broader coalition working towards the grander goals of prevention, intervention, and rehabilitation. It's an all-hands-on-deck endeavor that requires buy-in and collaboration from all segments of society. Only through such comprehensive measures can we make lasting progress.",,False,Scheme.
2,8387,391027d47b89cc2fd2017a865f99ccec,What kind of wine list can I expect to see in Paris?,wine list,"['restaurant', 'french', 'boston', 'canadian', 'resturant']",B,"A: restaurant
B: french
C: boston
D: canadian
E: resturant",french,"['restaurant', 'french', 'boston', 'canadian', '']",['resturant'],"Question: What kind of wine list can I expect to see in Paris?
Answer:
A: restaurant
B: french
C: boston
D: canadian
E: ",What () of wine list can I expect to see in Paris?,kind,"['Paris', 'wine', 'see']","Here is a paragraph incorporating the key terms Paris, wine, and see:

When visiting the enchanting city of Paris, one of the must-see attractions is a wine tasting experience. The French capital is renowned for its world-class wines, with many of the finest vintages hailing from the surrounding regions. Visitors can explore historic wine cellars, learn about the intricate wine-making process, and sample a variety of robust reds and crisp whites. From the iconic Eiffel Tower to charming sidewalk cafes, a glass of fine French wine is the perfect accompaniment for taking in the sights and sounds of this romantic city. Whether you're a seasoned oenophile or simply appreciate a good vintage, a Parisian wine tasting is an experience that will delight the senses and create lasting memories of your time in the City of Light.",Relevent Info,True,Variety
3,7151,246fa25105a6893de75b0016a830a183,What performance is expected of a student in school sessions?,student,"['michigan', 'pass course', 'better grade', 'ask questions', 'study history']",B,"A: michigan
B: pass course
C: better grade
D: ask questions
E: study history",passcourse,"['michigan', 'pass course', 'better grade', 'ask questions', '']",['study history'],"Question: What performance is expected of a student in school sessions?
Answer:
A: michigan
B: pass course
C: better grade
D: ask questions
E: ",What () is expected of a student in school sessions?,performance,"['school sessions', 'expected', 'school']","Here is a paragraph incorporating the key terms school sessions, expected, and school in a relevant context:

As the new school year approaches, students and parents alike are preparing for the upcoming school sessions. It is expected that most schools will return to full-time, in-person learning after a couple of years of disruptions due to the pandemic. Schools are making plans to ensure a safe and productive learning environment for students, with measures in place to prevent the spread of illness. Teachers are excited to have their classrooms filled again and to reconnect with students face-to-face. While some adjustments may be required, the overall expectation is that the school experience will largely return to normal routines and schedules. Both students and educators are looking forward to the enriching academic and social experiences that the traditional school setting provides.",,False,Attendance
4,9605,720f00ce6f63996210e40d6ed37a1653,"The man was crass and rude, all the what in the office filed a complaint together?",man,"['lady', 'wifes husband', 'women', 'her', 'female person']",C,"A: lady
B: wifes husband
C: women
D: her
E: female person",women,"['lady', 'wifes husband', 'women', 'her', '']",['female person'],"Question: The man was crass and rude, all the what in the office filed a complaint together?
Answer:
A: lady
B: wifes husband
C: women
D: her
E: ","The () was crass and rude, all the what in the office filed a complaint together?",man,"['crass', 'rude', 'office']","Here is a relevant context incorporating the key terms crass, rude, and office:

In many professional office environments, crass and rude behavior is simply unacceptable. An office should be a respectful workplace where employees can collaborate productively without being subjected to inappropriate comments or actions. Unfortunately, some individuals seem to lack basic professional decorum and social graces. They may make crass sexual remarks, tell offensive jokes, or speak to colleagues in a rude, demeaning manner. Such crass and rude conduct can create an uncomfortable, hostile atmosphere that undermines morale and teamwork. It can open the company up to potential harassment or discrimination lawsuits as well. Maintaining standards of polite, civil discourse is essential for any successful office culture. Managers need to take swift action against those who cross the line into crass or rude territory through disciplinary measures or additional training on workplace etiquette and respect.",,False,staff
5,324,2712fa7029d5a0d3325792eb0ab4bda1,If a human is sleepy what can they do to feel more alert?,human,"['dream dreams', 'think critically', 'cross road', 'drink coffee', 'drive a car']",D,"A: dream dreams
B: think critically
C: cross road
D: drink coffee
E: drive a car",drinkcoffee,"['dream dreams', '', 'cross road', 'drink coffee', 'drive a car']",['think critically'],"Question: If a human is sleepy what can they do to feel more alert?
Answer:
A: dream dreams
B: 
C: cross road
D: drink coffee
E: drive a car",If a human is sleepy what can they do to feel more ()?,alert,"['sleepy', 'do', 'feel']","Here is a paragraph incorporating the key terms sleepy, do, and feel in a meaningful context:

It's late at night and you can feel your eyelids getting heavy as a wave of sleepiness washes over you. No matter how much you try to fight it, that drowsy feeling just won't go away. You know you should probably head to bed, but there's still so much you want to do before calling it a night. Maybe you can power through and stay up a little longer? Or maybe it's best to listen to your body and get some much-needed rest. How you choose to proceed depends on how sleepy you truly feel and what's on your to-do list for tomorrow. Sometimes it's wise to push through when you're running on fumes, other times the better choice is to recharge your batteries. Only you can decide what to do based on your current state.",,False,Awake
6,7205,b6a2c0d1f8e0d032f65580d1a0960078,"When a person is convicted of committing murder, what happend to them?",committing murder,"['go to jail', 'imprisonment', 'sadness', 'prosecution', 'incarceration']",E,"A: go to jail
B: imprisonment
C: sadness
D: prosecution
E: incarceration",incarceration,"['go to jail', 'imprisonment', 'sadness', '', 'incarceration']",['prosecution'],"Question: When a person is convicted of committing murder, what happend to them?
Answer:
A: go to jail
B: imprisonment
C: sadness
D: 
E: incarceration","When a () is convicted of committing murder, what happend to them?",person,"['convicted', 'committing', 'happend']","Here is a relevant context incorporating the key terms convicted, committing, and happened:

After a lengthy trial, the defendant was convicted of committing several counts of fraud. The jury determined that the illegal activities had happened over the course of several years, during which time the defendant had misled investors and misappropriated funds for personal gain. Despite proclaiming innocence, the evidence presented clearly showed a pattern of deliberately committing financial crimes. The conviction meant the defendant was now facing potential prison time and significant fines for the offenses that had happened. The case served as a reminder that those who break the law by committing fraudulent acts can be held accountable when such misdeeds are uncovered and prosecuted.",Relevent Info,True,Murderer
7,5142,47f102575469628bf3ab688dfaf3938a,What is the hope of going fishing?,fishing,"['getting food', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",D,"A: getting food
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",catchingfish,"['', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",['getting food'],"Question: What is the hope of going fishing?
Answer:
A: 
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",What is the hope of going ()?,fishing,"['hope', 'going']","Here is a paragraph incorporating the key terms hope and going in a meaningful context:

Despite the challenges and setbacks life often brings, hope is what keeps us going. When faced with adversity, hope provides us with the strength and resilience to persevere. It is the belief that better days lie ahead, that our efforts will eventually bear fruit, and that our dreams are worth striving for. Hope is the fuel that propels us forward, motivating us to take action and make progress towards our goals. Without hope, it would be easy to succumb to despair and give up. However, by nurturing a sense of hope within ourselves, we can find the courage to keep going, even when the path ahead seems uncertain or daunting. Hope is a powerful force that can transform our lives, inspiring us to embrace new opportunities and overcome obstacles with determination and optimism.",,False,Nowhere
8,6009,3498dae098e748ef3c2c3894896d16ac,What does reading letters produce when one is unaware of a condition?,reading letter,"['laughter', 'strain', 'realization', 'enlightenment', 'happiness']",C,"A: laughter
B: strain
C: realization
D: enlightenment
E: happiness",realization,"['laughter', '', 'realization', 'enlightenment', 'happiness']",['strain'],"Question: What does reading letters produce when one is unaware of a condition?
Answer:
A: laughter
B: 
C: realization
D: enlightenment
E: happiness",What does reading letters produce when one is unaware of a ()?,condition,"['reading', 'when', 'condition']","Reading is a fundamental skill that opens doors to knowledge, imagination, and personal growth. It is an activity that can be enjoyed at any age and in various conditions. When we read, we embark on a journey that transcends time and space, allowing us to explore different worlds, perspectives, and ideas.

The act of reading is not limited by specific conditions; it can be done in the comfort of our homes, on a park bench, or even during a commute. The beauty of reading lies in its ability to transport us to different realms, regardless of our physical surroundings. Whether we prefer the tactile experience of holding a book or the convenience of digital devices, reading offers a gateway to endless possibilities.

Moreover, reading is a powerful tool for personal development and intellectual growth. When we engage with written works, we expand our vocabulary, enhance our critical thinking skills, and broaden our understanding of diverse cultures and viewpoints. Reading can also serve as a form of escapism, providing solace and respite from the stresses of daily life.

In today's fast-paced world, where information is abundant and distractions are plentiful, the act of reading remains a timeless and invaluable pursuit. It cultivates patience, focus, and the ability to immerse oneself in narratives that challenge and inspire us. Whether we read for pleasure, education, or personal growth, the benefits of this activity are immeasurable.",,False,Blindspot
9,1887,b9c088cfe0e2c07886896d922ce7c698,Everyone is ordinary but we are often told we are what?,ordinary,"['unbelievable', 'strange', 'special', 'ugly', 'exceptional']",C,"A: unbelievable
B: strange
C: special
D: ugly
E: exceptional",special,"['unbelievable', '', 'special', 'ugly', 'exceptional']",['strange'],"Question: Everyone is ordinary but we are often told we are what?
Answer:
A: unbelievable
B: 
C: special
D: ugly
E: exceptional",Everyone is () but we are often told we are what?,ordinary,"['ordinary', 'often']","Here is a paragraph incorporating the key terms ""ordinary"" and ""often"" in a meaningful context:

Despite living what many would consider an ordinary life, Sarah often found herself appreciating the simple joys that surrounded her. Her mornings were ordinary - she would wake up, make a cup of coffee, and read the newspaper. Yet she often paused to savor the rich aroma of the freshly brewed coffee and the way the morning sunlight filtered through the kitchen window. Her evenings were ordinary too, frequently spent catching up on household chores or watching a favorite TV show. However, Sarah often took the time to notice the vibrant colors of the sunset or the melodic chirping of birds outside her window. In a world that often moved at a frantic pace, she had learned to find contentment in the ordinary moments that so often get overlooked. Sarah's ability to appreciate the ordinary helped her lead a life that was far from ordinary.",,False,different
