Unnamed: 0,question,full_answer,masked_question,masked_word_answer,answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
0,Youngsville had a population of 684 people.  The town had a growth spurt and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,"The town had 684 people then had a 25% growth spurt increasing the population by 684*.25 = 171 people
The town had 684 people then they added 171 people bringing the population to 684+171 = <<684+171=855>>855 people
There were 855 people and 40% moved away so it decreased by 855*.40 = 342
The population was 855 and 342 people moved away making the new population 855-342 = <<855-342=513>>513 people
#### 513",Youngsville had a population of 684 people.  The town had a growth () and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,spurt,513,"['Youngsville', '25%', 'growth spurt', 'had', 'population', 'increased', 'then', 'witnessed', 'moved']","Youngsville, a small town in the Midwest, experienced a remarkable growth spurt in recent years. Over the past decade, the population of Youngsville had steadily increased by 25%, as more families and individuals moved to the area seeking a peaceful and close-knit community. The town then witnessed a surge in new businesses and infrastructure developments to accommodate the expanding population. This influx of residents not only boosted the local economy but also brought a fresh energy to Youngsville, transforming it into a vibrant and thriving town.",,False,decline
1,"Bill is stocking the kitchenware section of the Walmart. He needs to stack 60 pots. On each shelf, he can stack five pots vertically and three sets of vertically stacked pots side-by-side. How many shelves does he need to stock all the pots?","First find how many pots fit on one shelf: 5 pots/set * 3 sets = <<5*3=15>>15 pots
Then divide the number of pots Bill has by the number that fit on each shelf: 60 pots / 15 pots/shelf = <<60/15=4>>4 shelves
#### 4","Bill is stocking the kitchenware section of the Walmart. He needs to stack 60 pots. On each shelf, he can stack five pots vertically and three () of vertically stacked pots side-by-side. How many shelves does he need to stock all the pots?",sets,4,"['60', 'stacked pots', 'pots side', 'many shelves', 'stocking', 'kitchenware', 'needs', 'stack', 'pots', 'shelf', 'vertically', 'side', 'shelves']","In a busy kitchen environment, efficient organization is key to maximizing space and functionality. One popular method for storing kitchenware, such as pots, is by utilizing stacked pots on shelves. By stacking the pots vertically on shelves, you can make the most of the available space and easily access the pots when needed. With many shelves dedicated to stocking kitchenware, including pots side by side or stacked, you can ensure that all your cooking essentials are neatly arranged and within reach for your culinary needs. This method not only saves space but also helps maintain a tidy and organized kitchen.",,False,rows
2,"Cilia wants to buy a multi-level dumbbell system.  The first pair of dumbbells are 3 lb weights, the second pair is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?","The first pair of weights weighs 3 lb each so all total they weigh 2*3 = <<3*2=6>>6 lbs
The second pair of weights weigh 5 lbs each so they weigh 2*5 = <<5*2=10>>10 lbs
The third pair of weights weigh 8 lbs each so they weigh 2*8 = <<8*2=16>>16lbs
All total, the entire system of weights weigh 6+10+16 = <<6+10+16=32>>32 lbs
#### 32","Cilia wants to buy a multi-level dumbbell system.  The first () of dumbbells are 3 lb weights, the second () is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?",pair,32,"['Cilia', 'first', '3 lb', '5 lb', 'third', 'multi-level system', 'dumbbell system', 'lb weights', 'dumbbell', 'system', 'pair', 'lb', 'pounds', 'weigh']","In a multi-level system of weightlifting, beginners often start with a pair of 3 lb dumbbells to build strength and coordination. As they progress, they may advance to using 5 lb weights for a more challenging workout. The dumbbell system allows individuals to target specific muscle groups with precision, engaging muscles such as the biceps and triceps. Cilia, the tiny hair-like structures found in the respiratory tract, play a crucial role in filtering out impurities and maintaining healthy lung function. Whether lifting 3 lb or 5 lb weights, incorporating a variety of exercises into a routine can help individuals achieve a well-rounded fitness regimen.",,False,set
3,"Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of fuel and she will use all of this during her trip. She isn't sure how much fuel she is going to use in the first third of the trip but she knows she will need a third of all of her fuel for the second third of the trip, and half this amount for the final third of the trip. How much fuel, in liters, can Lydia use in the first third of the trip?","In the second third of the trip, Lydia is going to use 60 liters of fuel / 3 = <<60/3=20>>20 liters of fuel.
In the final third of the trip, she needs half of this amount so she is going to be using 20 liters / 2 = <<20/2=10>>10 liters of fuel.
So in the first third, Lydia used the remaining amount of fuel which is 60 total liters of fuel – 20 liters of fuel in the second third – 10 liters of fuel in the final third = <<60-20-10=30>>30 liters of fuel.
#### 30","Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of () and she will use all of this during her trip. She isn't sure how much () she is going to use in the first third of the trip but she knows she will need a third of all of her () for the second third of the trip, and half this amount for the final third of the trip. How much (), in liters, can Lydia use in the first third of the trip?",fuel,30,,,Seen Q,True,Fuel
4,"Jack is stranded on a desert island. He wants some salt to season his fish. He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?","First find how many liters of the seawater are salt: 2 liters * 20% = <<2*20*.01=.4>>.4 liters
Then multiply that amount by 1000 ml/liter to find the number of ml of salt Jack gets: .4 liters * 1000 ml/liter = <<.4*1000=400>>400 ml
#### 400","Jack is stranded on a desert island. He wants some salt to season his (). He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?",fish,400,"['Jack', '2 liters', 'Jack', 'desert island', 'old bucket', 'many ml', 'desert', 'wants', 'seawater', 'old', 'bucket', 'ml', 'when']","Jack found himself stranded on a desert island with only an old bucket to collect water. He wants to gather seawater to survive, but the bucket can only hold 2 liters, which is equivalent to 2000 ml. Jack wonders when he will have to make multiple trips to the shore to fill the bucket, considering the many milliliters of seawater he needs to collect to stay hydrated in the scorching desert heat.",,False,food
5,Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the number of legs of the entire collection is.,"The ants have 72 legs because 12 times 6 equals <<12*6=72>>72
The spiders have 64 legs because 8 times 8 equals <<8*8=64>>64.
There are a total of 136 legs because 72 plus 64 equals <<72+64=136>>136.
#### 136",Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the () of legs of the entire collection is.,number,136,"['Monroe', '12', 'has', 'collection', 'ants', 'spiders']","Monroe, a curious 12-year-old, has developed a fascination with insects and has started a collection of ants and spiders. His interest in these tiny creatures has led him to observe their behaviors closely and learn more about their habitats and characteristics. Monroe spends hours studying his collection, carefully documenting each specimen and their unique traits. His growing collection of ants and spiders has become a source of joy and learning for him, sparking his interest in entomology and the natural world.",,False,total
6,John attends a protest for 4 days.  He then attends a second protest for 25% longer than the first.  How many days did he spend protesting?,"The second protest was 4*.25=<<4*.25=1>>1 day longer than the first.
So the second protest was 4+1=<<4+1=5>>5 days.
Thus he spent 4+5=<<4+5=9>>9 days protesting.
#### 9",John attends a protest for 4 ().  He then attends a second protest for 25% longer than the first.  How many () did he spend protesting?,days,9,"['John', '4 days', 'second protest', 'many days', 'protest', 'longer', 'many', 'protesting']","John has been protesting for many days now, with his latest demonstration entering its fourth day. This second protest is lasting longer than the previous one, as John is determined to continue protesting until his demands are met. Despite the many days of protesting, John remains steadfast in his commitment to bring about change through peaceful demonstrations.",,False,hours
7,James buys 3 dirt bikes for $150 each and 4 off-road vehicles for $300 each.  It also cost him $25 to register each of these.  How much did he pay for everything?,"The dirtbikes cost 3*150=$<<3*150=450>>450
The off-road vehicles cost 300*4=$<<300*4=1200>>1200
He had to register 3+4=<<3+4=7>>7 vehicles
That means registration cost 25*7=$<<25*7=175>>175
So the total cost of everything was 450+1200+175=$<<450+1200+175=1825>>1825
#### 1825",James buys 3 dirt bikes for $150 each and 4 off-() vehicles for $300 each.  It also cost him $25 to register each of these.  How much did he pay for everything?,road,1825,,,Seen Q,True,road
8,"Two runners are competing in a 10-mile race.  The first runs at an average pace of 8 minutes per mile, while the second runs at an average pace of 7 minutes per mile.  After 56 minutes, the second runner stops for a drink of water.  For how many minutes could the second runner remain stopped before the first runner catches up with him?","After 56 minutes, the second runner has traveled 56/7 = <<56/7=8>>8 miles.
Similarly, the first runner has traveled 56/8 = <<56/8=7>>7 miles.
Therefore, the two runners are 8 - 7 = <<8-7=1>>1 mile apart when the second runner stops.
Thus, the second runner can stop for a maximum of 8 minutes, which is the amount of time it takes the first runner to travel 1 mile.
#### 8","Two runners are competing in a 10-mile race.  The first runs at an average pace of 8 minutes per mile, while the second runs at an average pace of 7 minutes per mile.  After 56 minutes, the second runner stops for a () of water.  For how many minutes could the second runner remain stopped before the first runner catches up with him?",drink,8,"['Two', '10-mile', '56 minutes', 'how many minutes', 'mile race', 'average pace', 'second runner', 'many minutes', 'first runner', 'mile', 'runs', 'pace', 'how', 'many', 'catches']","In a 10-mile race, the first runner sets a strong pace, covering each mile in an average of 7 minutes. Meanwhile, the second runner starts two minutes later and runs at a slightly faster pace, completing each mile in 6 minutes. The question arises: how many minutes will it take for the second runner to catch up to the first runner? By calculating the difference in their paces, we can determine that the second runner gains 1 minute on the first runner for every mile they run. Therefore, it will take the second runner 56 minutes to catch up to the first runner, as they will have closed the two-mile gap between them after running for 56 minutes at their faster pace.",,False,sip
9,"Jason goes to the library 4 times more often than William goes. If William goes 2 times per week to the library, how many times does Jason go to the library in 4 weeks?","The number of times Jason goes to the library per week is 4 * 2 = <<4*2=8>>8 times.
The number of times he goes to the library in 4 weeks is 8 * 4 = <<8*4=32>>32 times.
#### 32","Jason goes to the library 4 times more often than William goes. If William goes 2 times per () to the library, how many times does Jason go to the library in 4 ()s?",week,32,"['William', 'William', '2', 'many times', 'week', 'how', 'go', 'weeks']","William goes to the gym twice a week. He has been following this routine for many weeks now. Each week, William dedicates two days to his fitness regimen, ensuring he stays consistent with his workouts. This routine has been beneficial for William as he has seen improvements in his overall health and fitness levels.",,False,"week, weeks"
