Unnamed: 0.1,Unnamed: 0,id,question,question_concept,choices,answerKey,answer_options_formatted,answer,choices_copy,masked_options,question_answer,masked_question,masked_word_answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
0,8773,37eb54ff6dcbbdb70d12b7e5a1dab9e3,"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",feet,"['shoes', 'stay still', 'hands', 'walk', 'stink']",B,"A: shoes
B: stay still
C: hands
D: walk
E: stink",staystill,"['shoes', 'stay still', '', 'walk', 'stink']",['hands'],"Question: Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?
Answer:
A: shoes
B: stay still
C: 
D: walk
E: stink","Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a (), because she was told to do what?",problem,"['Miranda', 'sure', 'just', 'smelly', 'feet', 'problem']","Miranda had always been confident in her personal hygiene, but lately, she noticed a persistent issue that was becoming increasingly hard to ignore. Her feet had developed a smelly problem, and she was sure it was affecting her social interactions. Determined to address the issue, she decided to research potential solutions. She discovered that wearing breathable shoes, using foot powder, and maintaining a regular foot care routine could significantly reduce odor. Just as she was about to give up hope, these small changes made a big difference, and Miranda was relieved to find her confidence restored.",,False,paradox
1,6125,5abe81200fb6d4d0ff7f1d9862116292,"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",pawn,"['scheme', 'chess game', 'chess set', 'business idea', 'playing chess']",A,"A: scheme
B: chess game
C: chess set
D: business idea
E: playing chess",scheme,"['scheme', 'chess game', 'chess set', 'business idea', '']",['playing chess'],"Question: The police busted down his door, he realized only then he was just the pawn in his partner's grander what?
Answer:
A: scheme
B: chess game
C: chess set
D: business idea
E: ","The police busted down his (), he realized only then he was just the pawn in his partner's grander what?",door,"['grander what', 'busted', 'realized', 'only', 'partner']","During the renovation of their century-old farmhouse, Sarah and her partner, Alex, stumbled upon a hidden compartment in the attic. Initially, they thought it might contain something of grander significance, perhaps a treasure or a historical artifact. However, when they finally busted open the compartment, they realized it was only filled with old newspapers and dusty trinkets. Despite the anticlimactic discovery, the experience brought them closer together, reinforcing their bond and reminding them of the simple joys of shared adventures.",,False,scheme
2,8387,391027d47b89cc2fd2017a865f99ccec,What kind of wine list can I expect to see in Paris?,wine list,"['restaurant', 'french', 'boston', 'canadian', 'resturant']",B,"A: restaurant
B: french
C: boston
D: canadian
E: resturant",french,"['restaurant', 'french', 'boston', 'canadian', '']",['resturant'],"Question: What kind of wine list can I expect to see in Paris?
Answer:
A: restaurant
B: french
C: boston
D: canadian
E: ",What () of wine list can I expect to see in Paris?,kind,,,Seen Q,True,kind
3,7151,246fa25105a6893de75b0016a830a183,What performance is expected of a student in school sessions?,student,"['michigan', 'pass course', 'better grade', 'ask questions', 'study history']",B,"A: michigan
B: pass course
C: better grade
D: ask questions
E: study history",passcourse,"['michigan', 'pass course', 'better grade', 'ask questions', '']",['study history'],"Question: What performance is expected of a student in school sessions?
Answer:
A: michigan
B: pass course
C: better grade
D: ask questions
E: ",What () is expected of a student in school sessions?,performance,"['student sessions', 'performance', 'sessions']","In educational settings, student sessions are structured periods during which learners engage with instructional material, either independently or with guidance from an instructor. These sessions can vary in format, including one-on-one tutoring, group workshops, or online modules, and are designed to enhance the learning experience by focusing on specific topics or skills. The performance of students during these sessions is often monitored to assess their understanding and progress. Performance metrics might include test scores, participation levels, or the ability to apply learned concepts in practical scenarios. By analyzing performance data from these sessions, educators can tailor future sessions to better meet the needs of their students, ensuring that each session is as",,False,behavior
4,9605,720f00ce6f63996210e40d6ed37a1653,"The man was crass and rude, all the what in the office filed a complaint together?",man,"['lady', 'wifes husband', 'women', 'her', 'female person']",C,"A: lady
B: wifes husband
C: women
D: her
E: female person",women,"['lady', 'wifes husband', 'women', 'her', '']",['female person'],"Question: The man was crass and rude, all the what in the office filed a complaint together?
Answer:
A: lady
B: wifes husband
C: women
D: her
E: ","The () was crass and rude, all the what in the office filed a complaint together?",man,"['crass', 'office', 'filed']","In the bustling office environment of a major law firm, tensions often ran high as deadlines loomed and the pressure to perform was constant. One particular incident that stood out involved a junior associate who, in a moment of frustration, made a crass remark about a senior partner's handling of a high-profile case. The comment, though intended to be a private venting of frustration, was overheard by several colleagues and quickly became the talk of the office. Realizing the potential repercussions of his words, the associate promptly filed a formal apology with the human resources department, hoping to mitigate any damage to his professional reputation. This incident served as a",,False,manager
5,324,2712fa7029d5a0d3325792eb0ab4bda1,If a human is sleepy what can they do to feel more alert?,human,"['dream dreams', 'think critically', 'cross road', 'drink coffee', 'drive a car']",D,"A: dream dreams
B: think critically
C: cross road
D: drink coffee
E: drive a car",drinkcoffee,"['dream dreams', '', 'cross road', 'drink coffee', 'drive a car']",['think critically'],"Question: If a human is sleepy what can they do to feel more alert?
Answer:
A: dream dreams
B: 
C: cross road
D: drink coffee
E: drive a car",If a human is sleepy what can they do to feel more ()?,alert,"['human', 'sleepy', 'feel']","Humans often experience a range of emotions and physical states throughout the day, one of which is feeling sleepy. This sensation typically occurs when the body signals that it needs rest, often due to a lack of sufficient sleep or a disruption in the circadian rhythm. Feeling sleepy is a natural part of the human experience, as it is the body's way of indicating that it requires downtime to repair and rejuvenate. Various factors can contribute to this feeling, including stress, diet, and lifestyle choices. Understanding the importance of sleep and recognizing the signs of sleepiness can help individuals maintain better overall health and well-being.",,False,Awake
6,7205,b6a2c0d1f8e0d032f65580d1a0960078,"When a person is convicted of committing murder, what happend to them?",committing murder,"['go to jail', 'imprisonment', 'sadness', 'prosecution', 'incarceration']",E,"A: go to jail
B: imprisonment
C: sadness
D: prosecution
E: incarceration",incarceration,"['go to jail', 'imprisonment', 'sadness', '', 'incarceration']",['prosecution'],"Question: When a person is convicted of committing murder, what happend to them?
Answer:
A: go to jail
B: imprisonment
C: sadness
D: 
E: incarceration","When a () is convicted of committing murder, what happend to them?",person,,,Seen Q,True,person
7,5142,47f102575469628bf3ab688dfaf3938a,What is the hope of going fishing?,fishing,"['getting food', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",D,"A: getting food
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",catchingfish,"['', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",['getting food'],"Question: What is the hope of going fishing?
Answer:
A: 
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",What is the hope of going ()?,fishing,"['hope', 'going']","In the midst of life's challenges, hope serves as a guiding light, illuminating the path forward even when the journey seems daunting. It is the quiet assurance that, despite the obstacles we face, there is a brighter future ahead. As we keep going, propelled by this hope, we find the strength to persevere and the courage to overcome adversity. Whether it's pursuing personal goals, navigating difficult times, or striving for a better world, hope fuels our determination and inspires us to continue moving forward, one step at a time. It reminds us that every effort, no matter how small, contributes to the possibility of a positive outcome, encouraging us to",,False,forward
8,6009,3498dae098e748ef3c2c3894896d16ac,What does reading letters produce when one is unaware of a condition?,reading letter,"['laughter', 'strain', 'realization', 'enlightenment', 'happiness']",C,"A: laughter
B: strain
C: realization
D: enlightenment
E: happiness",realization,"['laughter', '', 'realization', 'enlightenment', 'happiness']",['strain'],"Question: What does reading letters produce when one is unaware of a condition?
Answer:
A: laughter
B: 
C: realization
D: enlightenment
E: happiness",What does reading letters produce when one is unaware of a ()?,condition,"['reading', 'produce', 'when']","Reading is a fundamental skill that allows individuals to access and understand written information, which is essential for learning and communication. When individuals engage in reading, they are able to produce a variety of cognitive and emotional responses, depending on the content and context of the material. For instance, reading a novel can produce feelings of empathy and imagination, while reading a scientific article can produce a deeper understanding of complex concepts. The timing of when one chooses to read can also impact the experience; reading in the morning might produce a sense of calm and focus, while reading before bed can help relax the mind and prepare for sleep. Overall, reading is a versatile activity",,False,Sound
9,1887,b9c088cfe0e2c07886896d922ce7c698,Everyone is ordinary but we are often told we are what?,ordinary,"['unbelievable', 'strange', 'special', 'ugly', 'exceptional']",C,"A: unbelievable
B: strange
C: special
D: ugly
E: exceptional",special,"['unbelievable', '', 'special', 'ugly', 'exceptional']",['strange'],"Question: Everyone is ordinary but we are often told we are what?
Answer:
A: unbelievable
B: 
C: special
D: ugly
E: exceptional",Everyone is () but we are often told we are what?,ordinary,"['ordinary', 'often']","In our daily lives, we often find ourselves engaged in ordinary activities that form the backbone of our routines. These ordinary tasks, such as making breakfast, commuting to work, or tidying up our living spaces, might seem mundane at first glance. However, they often hold a deeper significance, providing structure and stability to our days. By embracing these ordinary moments, we can find a sense of peace and mindfulness, appreciating the simplicity and predictability they bring amidst the chaos of more extraordinary events. It's in these often overlooked moments that we can cultivate gratitude and find joy in the everyday.",,False,Unique
