Unnamed: 0.1,Unnamed: 0,id,question,question_concept,choices,answerKey,answer_options_formatted,answer,choices_copy,masked_options,question_answer,masked_question,masked_word_answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
0,8773,37eb54ff6dcbbdb70d12b7e5a1dab9e3,"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",feet,"['shoes', 'stay still', 'hands', 'walk', 'stink']",B,"A: shoes
B: stay still
C: hands
D: walk
E: stink",staystill,"['shoes', 'stay still', '', 'walk', 'stink']",['hands'],"Question: Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?
Answer:
A: shoes
B: stay still
C: 
D: walk
E: stink","Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a (), because she was told to do what?",problem,"['smelly feet', 'sure', 'just', 'knew', 'told', 'do']","The following paragraph incorporates the given key terms:
       ""I knew that my friend was going to be late, so I just checked my watch for what felt like the hundredth time. I told him that I would wait for him, but I was starting to get a little worried. As I stood there, I couldn't help but notice the smelly feet that my friend was wearing. I was sure that he had just gotten his feet washed, but the smell was still overpowering. I tried",,False,"1.  ritual 2.  ceremony 3.  tradition 4.  custom 5.  ritual 6.  ceremony 7.  tradition 8.  custom 9.  tradition 10.  custom

## Step 1: Identify the context of the sentence
The sentence describes a situation where Miranda is unsure about what she is doing, but she knows she can't stop moving her feet. This suggests that the activity she is engaged in is likely"
1,6125,5abe81200fb6d4d0ff7f1d9862116292,"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",pawn,"['scheme', 'chess game', 'chess set', 'business idea', 'playing chess']",A,"A: scheme
B: chess game
C: chess set
D: business idea
E: playing chess",scheme,"['scheme', 'chess game', 'chess set', 'business idea', '']",['playing chess'],"Question: The police busted down his door, he realized only then he was just the pawn in his partner's grander what?
Answer:
A: scheme
B: chess game
C: chess set
D: business idea
E: ","The police busted down his (), he realized only then he was just the pawn in his partner's grander what?",door,"['busted', 'realized', 'then', 'just', 'grander']","The city's reputation for being a hub for organized crime was busted when a large-scale investigation revealed a complex web of corruption and deceit. The authorities realized that the city's infrastructure was being manipulated by a powerful and secretive organization, which had infiltrated every level of government and law enforcement. The investigation was a long time coming, but it finally came to fruition when a key witness came forward and provided crucial evidence. Then, the authorities were able to piece together the evidence and build a case against the organization",Relevent Info,True,1.  (a) game 2.  (b) scheme 3.  (c) plan 4.  (d) plot 5.  (e) scam 6.  (f) trap 7.  (g) deal 8.  (h) scam 9.  (i) trap 10.  (j) plot 11.  (k) game 12.  (l) scheme 13.
2,8387,391027d47b89cc2fd2017a865f99ccec,What kind of wine list can I expect to see in Paris?,wine list,"['restaurant', 'french', 'boston', 'canadian', 'resturant']",B,"A: restaurant
B: french
C: boston
D: canadian
E: resturant",french,"['restaurant', 'french', 'boston', 'canadian', '']",['resturant'],"Question: What kind of wine list can I expect to see in Paris?
Answer:
A: restaurant
B: french
C: boston
D: canadian
E: ",What () of wine list can I expect to see in Paris?,kind,"['wine list', 'kind', 'expect']","Wine List: A wine list is a document that outlines the selection of wines available for purchase at a restaurant, bar, or wine shop. It typically includes the name of the wine, the type of wine (e.g. red, white, sparkling), the vintage year, the region of origin, and the price. Wine lists can be categorized into different types, such as a wine list for a fine dining restaurant, a wine list for a casual bar, or a wine list for a wine shop",,False,Bordeaux.
3,7151,246fa25105a6893de75b0016a830a183,What performance is expected of a student in school sessions?,student,"['michigan', 'pass course', 'better grade', 'ask questions', 'study history']",B,"A: michigan
B: pass course
C: better grade
D: ask questions
E: study history",passcourse,"['michigan', 'pass course', 'better grade', 'ask questions', '']",['study history'],"Question: What performance is expected of a student in school sessions?
Answer:
A: michigan
B: pass course
C: better grade
D: ask questions
E: ",What () is expected of a student in school sessions?,performance,"['school sessions', 'performance', 'sessions']","The school year is divided into two main sessions: the autumn session and the spring session. The autumn session typically begins in late August or early September and lasts until mid-December. During this time, students typically focus on completing their summer assignments and getting back into the routine of attending classes regularly. The spring session, on the other hand, usually starts in late January or early February and ends in mid-June. This session is often characterized by a more relaxed pace, allowing students to catch up on",,False,Answer:
4,9605,720f00ce6f63996210e40d6ed37a1653,"The man was crass and rude, all the what in the office filed a complaint together?",man,"['lady', 'wifes husband', 'women', 'her', 'female person']",C,"A: lady
B: wifes husband
C: women
D: her
E: female person",women,"['lady', 'wifes husband', 'women', 'her', '']",['female person'],"Question: The man was crass and rude, all the what in the office filed a complaint together?
Answer:
A: lady
B: wifes husband
C: women
D: her
E: ","The () was crass and rude, all the what in the office filed a complaint together?",man,"['office', 'filed', 'complaint']","The office of the county clerk is a vital institution that plays a crucial role in the administration of justice. One of the primary functions of the office is to maintain and file official records, including court documents, property deeds, and other vital documents. In the event of a dispute or a complaint, the office of the county clerk is often the first point of contact for individuals seeking to resolve their issues. The clerk's office is responsible for filing complaints and other documents related to the dispute, which are then",,False,"1.  complaint 2.  complaint 3.  complaint 4.  complaints 5.  complaints
The best answer is (4): complaints."
5,324,2712fa7029d5a0d3325792eb0ab4bda1,If a human is sleepy what can they do to feel more alert?,human,"['dream dreams', 'think critically', 'cross road', 'drink coffee', 'drive a car']",D,"A: dream dreams
B: think critically
C: cross road
D: drink coffee
E: drive a car",drinkcoffee,"['dream dreams', '', 'cross road', 'drink coffee', 'drive a car']",['think critically'],"Question: If a human is sleepy what can they do to feel more alert?
Answer:
A: dream dreams
B: 
C: cross road
D: drink coffee
E: drive a car",If a human is sleepy what can they do to feel more ()?,alert,"['human', 'do', 'alert']","The human brain is a complex and intricate organ that is capable of incredible feats of cognition and creativity. One of the most remarkable aspects of the human brain is its ability to do complex tasks, such as solving problems, learning new skills, and adapting to new situations. However, this ability is not without its limitations. The human brain is also prone to making mistakes, and it can be easily distracted by external stimuli. Therefore, it is essential to be alert and aware of one's surroundings in order to",,False,"Refresh. Reply
## Step 1: Identify the word to be replaced
The word to be replaced is in parentheses: ().

## Step 2: Determine the correct word to replace the blank
The correct word to replace the blank is ""alert"".

The final answer is: Alert."
6,7205,b6a2c0d1f8e0d032f65580d1a0960078,"When a person is convicted of committing murder, what happend to them?",committing murder,"['go to jail', 'imprisonment', 'sadness', 'prosecution', 'incarceration']",E,"A: go to jail
B: imprisonment
C: sadness
D: prosecution
E: incarceration",incarceration,"['go to jail', 'imprisonment', 'sadness', '', 'incarceration']",['prosecution'],"Question: When a person is convicted of committing murder, what happend to them?
Answer:
A: go to jail
B: imprisonment
C: sadness
D: 
E: incarceration","When a () is convicted of committing murder, what happend to them?",person,"['person', 'murder', 'happend']","The murder of a person is a serious crime that can have severe consequences for the perpetrator. In many jurisdictions, murder is defined as the unlawful killing of another person with malice aforethought. This means that the perpetrator must have intended to kill the victim, or at least been reckless and negligent in their actions. The consequences of murder can be severe, including lengthy prison sentences and even the death penalty in some cases. In addition to the legal consequences, murder can also have a profound impact on the victim",Relevent Info,True,Punishment.
7,5142,47f102575469628bf3ab688dfaf3938a,What is the hope of going fishing?,fishing,"['getting food', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",D,"A: getting food
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",catchingfish,"['', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",['getting food'],"Question: What is the hope of going fishing?
Answer:
A: 
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",What is the hope of going ()?,fishing,"['hope', 'going']","The concept of hope is deeply intertwined with the idea of going. Hope is the emotional state of expecting something positive to happen, often in the face of uncertainty or adversity. When we have hope, we feel a sense of optimism and confidence that a desired outcome will occur. This can manifest in various aspects of life, such as personal relationships, career goals, or even physical health. The act of going, on the other hand, implies movement, progression, and change. It can represent a transition from",,False,Hope
8,6009,3498dae098e748ef3c2c3894896d16ac,What does reading letters produce when one is unaware of a condition?,reading letter,"['laughter', 'strain', 'realization', 'enlightenment', 'happiness']",C,"A: laughter
B: strain
C: realization
D: enlightenment
E: happiness",realization,"['laughter', '', 'realization', 'enlightenment', 'happiness']",['strain'],"Question: What does reading letters produce when one is unaware of a condition?
Answer:
A: laughter
B: 
C: realization
D: enlightenment
E: happiness",What does reading letters produce when one is unaware of a ()?,condition,"['reading letters', 'reading', 'unaware']","The concept of reading letters is a fundamental skill that children develop as they progress through their educational journey. Reading letters involves recognizing and understanding the relationship between letters and sounds, which is a crucial step in learning to read. When children are first introduced to reading letters, they may be unaware of the sounds that letters make, but as they practice and learn, they begin to develop an understanding of the phonetic relationship between letters and sounds.

       Reading letters is not just about recognizing individual letters, but also about",,False,(a)
9,1887,b9c088cfe0e2c07886896d922ce7c698,Everyone is ordinary but we are often told we are what?,ordinary,"['unbelievable', 'strange', 'special', 'ugly', 'exceptional']",C,"A: unbelievable
B: strange
C: special
D: ugly
E: exceptional",special,"['unbelievable', '', 'special', 'ugly', 'exceptional']",['strange'],"Question: Everyone is ordinary but we are often told we are what?
Answer:
A: unbelievable
B: 
C: special
D: ugly
E: exceptional",Everyone is () but we are often told we are what?,ordinary,"['ordinary', 'often']","The term ""ordinary"" refers to something that is normal, usual, or typical. It can also imply a lack of excitement or interest. In everyday language, people often use the term to describe something that is unremarkable or unexceptional. For example, ""The ordinary view from my window is of a quiet street."" In this context, the word ""ordinary"" emphasizes the lack of excitement or drama in the view.

      The term ""often"" is an adverb that indicates frequency or",,False,1. happy 2. sad 3. happy 4. sad 5. happy 6. sad 7. happy 8. sad 9. 10. happy 11. sad 12. happy 13. 14. sad 15. happy 16. sad 17. happy 18. sad 19. happy 20. sad 21. 22. happy 23. 24. sad 25. happy 26. sad
