Unnamed: 0.1,Unnamed: 0,id,question,question_concept,choices,answerKey,answer_options_formatted,answer,choices_copy,masked_options,question_answer,masked_question,masked_word_answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
0,8773,37eb54ff6dcbbdb70d12b7e5a1dab9e3,"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",feet,"['shoes', 'stay still', 'hands', 'walk', 'stink']",B,"A: shoes
B: stay still
C: hands
D: walk
E: stink",staystill,"['shoes', 'stay still', '', 'walk', 'stink']",['hands'],"Question: Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?
Answer:
A: shoes
B: stay still
C: 
D: walk
E: stink","Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a (), because she was told to do what?",problem,"['Miranda', 'smelly feet', 'knew', 'smelly', 'problem', 'told']","Miranda knew she had a problem with her smelly feet, but she never told anyone about it. The persistent odor had been bothering her for months, making her self-conscious whenever she had to remove her shoes at friends' houses or during yoga class. The embarrassing situation only worsened in warm weather, and despite trying various remedies like special socks and foot powders, the smelly issue continued to plague her daily life. Finally, after her roommate gently told her about the noticeable odor, Miranda decided to seek professional help from a podiatrist to address the root cause of her foot problem.",,False,dance
1,6125,5abe81200fb6d4d0ff7f1d9862116292,"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",pawn,"['scheme', 'chess game', 'chess set', 'business idea', 'playing chess']",A,"A: scheme
B: chess game
C: chess set
D: business idea
E: playing chess",scheme,"['scheme', 'chess game', 'chess set', 'business idea', '']",['playing chess'],"Question: The police busted down his door, he realized only then he was just the pawn in his partner's grander what?
Answer:
A: scheme
B: chess game
C: chess set
D: business idea
E: ","The police busted down his (), he realized only then he was just the pawn in his partner's grander what?",door,"['grander what', 'only', 'pawn', 'partner', 'grander']","In the complex game of life, we often find ourselves playing roles that seem smaller than we desire. Like a pawn on a chessboard, we might feel limited in our movements and possibilities. However, what appears to be a modest position can transform into something far grander when we partner with others who share our vision and aspirations. Only through collaboration and mutual support can we elevate our circumstances, turning seemingly humble beginnings into opportunities for greater achievement. The journey becomes grander what we initially envision when we recognize that being a pawn doesn't define our ultimate potential, but rather marks the starting point of our evolution toward more significant roles and accomplishments.",,False,scheme
2,8387,391027d47b89cc2fd2017a865f99ccec,What kind of wine list can I expect to see in Paris?,wine list,"['restaurant', 'french', 'boston', 'canadian', 'resturant']",B,"A: restaurant
B: french
C: boston
D: canadian
E: resturant",french,"['restaurant', 'french', 'boston', 'canadian', '']",['resturant'],"Question: What kind of wine list can I expect to see in Paris?
Answer:
A: restaurant
B: french
C: boston
D: canadian
E: ",What () of wine list can I expect to see in Paris?,kind,"['wine list', 'list', 'see']","In fine dining establishments, when guests are ready to select their beverages, servers typically present the wine list, an expertly curated collection of wines available at the restaurant. As patrons open the carefully bound list, they can see detailed information about each wine, including vintage, region, grape variety, and price. The presentation of the wine list is an important part of the dining experience, often featuring both familiar selections and rare finds that complement the restaurant's cuisine. Some establishments even employ sommeliers who can guide guests through the list, helping them make informed choices based on their preferences and the dishes they plan to order. Modern restaurants may also offer digital wine lists on tablets, allowing guests to see additional details such as tasting notes, vineyard information, and food pairing suggestions at the touch of a screen.",,False,type
3,7151,246fa25105a6893de75b0016a830a183,What performance is expected of a student in school sessions?,student,"['michigan', 'pass course', 'better grade', 'ask questions', 'study history']",B,"A: michigan
B: pass course
C: better grade
D: ask questions
E: study history",passcourse,"['michigan', 'pass course', 'better grade', 'ask questions', '']",['study history'],"Question: What performance is expected of a student in school sessions?
Answer:
A: michigan
B: pass course
C: better grade
D: ask questions
E: ",What () is expected of a student in school sessions?,performance,"['expected', 'student', 'school']","In today's educational landscape, every student is expected to meet certain academic standards and behavioral benchmarks within the school environment. Schools serve as fundamental institutions where students develop not only their intellectual capabilities but also their social and emotional skills. A typical student spends approximately six to seven hours per day in school, engaging in various subjects, extracurricular activities, and peer interactions. Teachers and administrators work collaboratively to create an environment where each student is expected to participate actively in their learning journey, complete assigned work, and contribute positively to the school community. The relationship between student success and school support systems is crucial, as it directly impacts academic achievement and personal growth. Modern schools are increasingly focusing on individualized learning approaches, recognizing that each student has unique needs and learning styles that must be accommodated to meet expected educational outcomes.",,False,behavior
4,9605,720f00ce6f63996210e40d6ed37a1653,"The man was crass and rude, all the what in the office filed a complaint together?",man,"['lady', 'wifes husband', 'women', 'her', 'female person']",C,"A: lady
B: wifes husband
C: women
D: her
E: female person",women,"['lady', 'wifes husband', 'women', 'her', '']",['female person'],"Question: The man was crass and rude, all the what in the office filed a complaint together?
Answer:
A: lady
B: wifes husband
C: women
D: her
E: ","The () was crass and rude, all the what in the office filed a complaint together?",man,"['crass', 'complaint', 'together']","In today's increasingly connected workplace, handling interpersonal conflicts requires both tact and professionalism. When a crass comment or inappropriate remark is made during team meetings, it often leads to tension and formal complaint procedures being initiated. Rather than allowing such situations to divide the workforce, effective managers work to bring people together through mediation and open dialogue. This approach helps transform negative experiences into opportunities for learning and improving workplace culture, ensuring that all employees feel respected and valued. By addressing issues collectively rather than letting them fester, teams can maintain their cohesion and productivity while fostering a more inclusive environment.",,False,employees
5,324,2712fa7029d5a0d3325792eb0ab4bda1,If a human is sleepy what can they do to feel more alert?,human,"['dream dreams', 'think critically', 'cross road', 'drink coffee', 'drive a car']",D,"A: dream dreams
B: think critically
C: cross road
D: drink coffee
E: drive a car",drinkcoffee,"['dream dreams', '', 'cross road', 'drink coffee', 'drive a car']",['think critically'],"Question: If a human is sleepy what can they do to feel more alert?
Answer:
A: dream dreams
B: 
C: cross road
D: drink coffee
E: drive a car",If a human is sleepy what can they do to feel more ()?,alert,"['do', 'feel', 'alert']","In today's fast-paced world, many people struggle to maintain their energy levels and stay alert throughout the day. What you do in terms of daily habits and lifestyle choices directly impacts how you feel both mentally and physically. Experts recommend establishing a consistent sleep schedule, maintaining proper hydration, and engaging in regular exercise to help your body and mind stay naturally alert. Additionally, paying attention to what your body is telling you and making adjustments to your routine when you feel fatigued can help optimize your overall well-being. Simple actions like taking short breaks, practicing mindful breathing, or going for a brief walk can do wonders for restoring mental clarity and boosting alertness when energy levels begin to dip.",,False,awake
6,7205,b6a2c0d1f8e0d032f65580d1a0960078,"When a person is convicted of committing murder, what happend to them?",committing murder,"['go to jail', 'imprisonment', 'sadness', 'prosecution', 'incarceration']",E,"A: go to jail
B: imprisonment
C: sadness
D: prosecution
E: incarceration",incarceration,"['go to jail', 'imprisonment', 'sadness', '', 'incarceration']",['prosecution'],"Question: When a person is convicted of committing murder, what happend to them?
Answer:
A: go to jail
B: imprisonment
C: sadness
D: 
E: incarceration","When a () is convicted of committing murder, what happend to them?",person,"['When', 'convicted', 'happend']","Here's a relevant context incorporating those key terms:

When a person is convicted of a crime, it marks a significant moment in the legal process that happens after a thorough investigation and trial. The conviction occurs when either a jury reaches a guilty verdict or when the defendant pleads guilty to the charges. This process typically happens in a courtroom setting, where evidence has been presented and legal arguments have been made. The timing of when a conviction takes place can greatly impact sentencing decisions and future legal consequences. After the conviction happens, the judge determines the appropriate punishment based on sentencing guidelines, the severity of the crime, and other relevant factors. This legal milestone represents the point when an accused person officially becomes legally responsible for their actions in the eyes of the law.",,False,defendant
7,5142,47f102575469628bf3ab688dfaf3938a,What is the hope of going fishing?,fishing,"['getting food', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",D,"A: getting food
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",catchingfish,"['', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",['getting food'],"Question: What is the hope of going fishing?
Answer:
A: 
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",What is the hope of going ()?,fishing,"['hope', 'going']","Here's a contextual paragraph incorporating ""hope"" and ""going"":

As we find ourselves going through life's various challenges and transitions, hope remains one of our most powerful emotional anchors. It's the force that keeps us moving forward when obstacles seem insurmountable, acting as a beacon of light that guides us through uncertain times. Whether we're going through personal struggles, career changes, or pursuing ambitious dreams, hope provides the emotional resilience and mental fortitude needed to persist. It's not just an abstract feeling, but rather a vital psychological resource that helps us envision positive possibilities and motivates us to take meaningful action toward our goals. Research has shown that individuals who maintain hope during difficult circumstances are better equipped to handle stress and are more likely to achieve their desired outcomes.",,False,there
8,6009,3498dae098e748ef3c2c3894896d16ac,What does reading letters produce when one is unaware of a condition?,reading letter,"['laughter', 'strain', 'realization', 'enlightenment', 'happiness']",C,"A: laughter
B: strain
C: realization
D: enlightenment
E: happiness",realization,"['laughter', '', 'realization', 'enlightenment', 'happiness']",['strain'],"Question: What does reading letters produce when one is unaware of a condition?
Answer:
A: laughter
B: 
C: realization
D: enlightenment
E: happiness",What does reading letters produce when one is unaware of a ()?,condition,"['reading letters', 'letters', 'condition']","Reading letters is a fundamental skill that plays a crucial role in daily communication and literacy development. However, some individuals may experience difficulty with this basic task due to various conditions such as dyslexia, visual impairment, or other learning disabilities. These conditions can affect how the brain processes and interprets letters, making it challenging to distinguish between similar-looking characters or comprehend written text effectively. Early identification of such conditions is essential, as proper intervention and support strategies can significantly improve a person's ability to recognize and process letters. Educational specialists often use specialized techniques and tools to help individuals overcome these challenges, ensuring they can develop strong reading skills despite their condition. Regular eye examinations and developmental assessments are also important in maintaining optimal letter recognition abilities throughout one's life.",,False,mistake
9,1887,b9c088cfe0e2c07886896d922ce7c698,Everyone is ordinary but we are often told we are what?,ordinary,"['unbelievable', 'strange', 'special', 'ugly', 'exceptional']",C,"A: unbelievable
B: strange
C: special
D: ugly
E: exceptional",special,"['unbelievable', '', 'special', 'ugly', 'exceptional']",['strange'],"Question: Everyone is ordinary but we are often told we are what?
Answer:
A: unbelievable
B: 
C: special
D: ugly
E: exceptional",Everyone is () but we are often told we are what?,ordinary,"['ordinary', 'often']","Here's a relevant context incorporating ""ordinary"" and ""often"":

In our daily lives, what seems ordinary and routine can often hold unexpected significance. People frequently overlook the beauty in everyday moments, dismissing them as too commonplace to merit attention. The ordinary morning coffee ritual, for instance, is often taken for granted, yet it represents a moment of peaceful transition between sleep and activity that millions of people worldwide share. These seemingly mundane experiences are woven into the fabric of our daily existence, creating patterns that often shape our perspectives and habits more than the extraordinary events we tend to celebrate.",,False,different
